Date,Price
 16-Apr-21 ,79.7
 19-Apr-21 ,79.3
 20-Apr-21 ,78
 21-Apr-21 ,78
 22-Apr-21 ,76.5
 23-Apr-21 ,75.8
 27-Apr-21 ,76
 28-Apr-21 ,76.5
 29-Apr-21 ,76.4
 30-Apr-21 ,75.6
 3-May-21 ,75.4
 4-May-21 ,75
 5-May-21 ,75.3
 6-May-21 ,75
 7-May-21 ,75.8
 10-May-21 ,75
 11-May-21 ,75
 12-May-21 ,75
 13-May-21 ,75.5
 17-May-21 ,79
 18-May-21 ,80
 19-May-21 ,79.2
 20-May-21 ,80.3
 21-May-21 ,78.1
 24-May-21 ,78
 25-May-21 ,78.9
 28-May-21 ,78.8
 31-May-21 ,78.3
 1-Jun-21 ,79.2
 2-Jun-21 ,79.4
 3-Jun-21 ,79.5
 4-Jun-21 ,79.9
 7-Jun-21 ,81.9
 8-Jun-21 ,80
 9-Jun-21 ,80.5
 10-Jun-21 ,81
 11-Jun-21 ,82.3
 14-Jun-21 ,81
 15-Jun-21 ,80.8
 16-Jun-21 ,81
 17-Jun-21 ,81.5
 18-Jun-21 ,81
 21-Jun-21 ,81
 22-Jun-21 ,80.7
 23-Jun-21 ,80.7
 25-Jun-21 ,81
 28-Jun-21 ,80.6
 29-Jun-21 ,80.6
 30-Jun-21 ,80.4
 1-Jul-21 ,80
 2-Jul-21 ,80
 5-Jul-21 ,79.3
 6-Jul-21 ,78.9
 7-Jul-21 ,78.5
 8-Jul-21 ,78.5
 9-Jul-21 ,78.6
 12-Jul-21 ,78
 13-Jul-21 ,78.5
 14-Jul-21 ,78.1
 15-Jul-21 ,78.7
 16-Jul-21 ,78.4
 19-Jul-21 ,78.5
 20-Jul-21 ,78
 22-Jul-21 ,77.3
 26-Jul-21 ,76.8
 27-Jul-21 ,76
 28-Jul-21 ,77
 29-Jul-21 ,79
 30-Jul-21 ,78.9
 2-Aug-21 ,78.8
 3-Aug-21 ,78.3
 4-Aug-21 ,78.3
 5-Aug-21 ,77
 6-Aug-21 ,77.3
 9-Aug-21 ,76.9
 10-Aug-21 ,77.1
 11-Aug-21 ,77
 12-Aug-21 ,77
 13-Aug-21 ,76.6
 16-Aug-21 ,76.2
 17-Aug-21 ,76.5
 18-Aug-21 ,76.8
 19-Aug-21 ,76.9
 20-Aug-21 ,76.6
 23-Aug-21 ,77.5
 24-Aug-21 ,77.5
 25-Aug-21 ,77
 26-Aug-21 ,79.9
 27-Aug-21 ,79.4
 30-Aug-21 ,77.5
 31-Aug-21 ,76.7
 1-Sep-21 ,76.8
 2-Sep-21 ,77
 3-Sep-21 ,77.8
 6-Sep-21 ,76.6
 7-Sep-21 ,76.7
 8-Sep-21 ,76.6
 9-Sep-21 ,77.9
 10-Sep-21 ,76.5
 13-Sep-21 ,76
 14-Sep-21 ,76
 15-Sep-21 ,77
 16-Sep-21 ,76
 17-Sep-21 ,76
 21-Sep-21 ,76
 22-Sep-21 ,76.5
 23-Sep-21 ,76.8
 24-Sep-21 ,76.2
 27-Sep-21 ,76.1
 28-Sep-21 ,76
 29-Sep-21 ,76.5
 30-Sep-21 ,76.5
 1-Oct-21 ,76.5
 4-Oct-21 ,77.5
 5-Oct-21 ,77
 6-Oct-21 ,79
 7-Oct-21 ,78.5
 8-Oct-21 ,78.1
 11-Oct-21 ,77
 12-Oct-21 ,77.4
 13-Oct-21 ,76.7
 14-Oct-21 ,77
 15-Oct-21 ,77
 18-Oct-21 ,76.8
 21-Oct-21 ,76.5
 22-Oct-21 ,77.2
 25-Oct-21 ,76.7
 26-Oct-21 ,76.5
 27-Oct-21 ,77.3
 28-Oct-21 ,78.1
 29-Oct-21 ,77
 1-Nov-21 ,77
 2-Nov-21 ,77.1
 3-Nov-21 ,77
 5-Nov-21 ,76.5
 8-Nov-21 ,76.1
 9-Nov-21 ,75.5
 10-Nov-21 ,75
 11-Nov-21 ,75.1
 12-Nov-21 ,75.1
 15-Nov-21 ,74
 16-Nov-21 ,73.7
 17-Nov-21 ,73
 19-Nov-21 ,73
 22-Nov-21 ,73
 23-Nov-21 ,72.5
 24-Nov-21 ,72.1
 25-Nov-21 ,71
 26-Nov-21 ,71.2
 29-Nov-21 ,70.9
 30-Nov-21 ,70
 1-Dec-21 ,71
 2-Dec-21 ,70.8
 3-Dec-21 ,70.8
 6-Dec-21 ,71.9
 7-Dec-21 ,71.8
 8-Dec-21 ,71
 9-Dec-21 ,70.8
 10-Dec-21 ,71
 13-Dec-21 ,70.9
 14-Dec-21 ,70.6
 15-Dec-21 ,70.7
 16-Dec-21 ,70.3
 17-Dec-21 ,70
 20-Dec-21 ,68.8
 21-Dec-21 ,68.5
 22-Dec-21 ,69.2
 23-Dec-21 ,69.3
 24-Dec-21 ,68.9
 27-Dec-21 ,68.4
 28-Dec-21 ,68
 29-Dec-21 ,69
 30-Dec-21 ,70
 31-Dec-21 ,68.9
 3-Jan-22 ,69
 4-Jan-22 ,69.5
 5-Jan-22 ,70
 6-Jan-22 ,69.2
 7-Jan-22 ,70
 10-Jan-22 ,72.8
 11-Jan-22 ,72
 12-Jan-22 ,71.9
 13-Jan-22 ,70
 18-Jan-22 ,70.9
 19-Jan-22 ,71.5
 20-Jan-22 ,71.5
 21-Jan-22 ,72
 24-Jan-22 ,72.2
 25-Jan-22 ,72
 26-Jan-22 ,71.5
 27-Jan-22 ,71.6
 28-Jan-22 ,70.8
 31-Jan-22 ,71.1
 1-Feb-22 ,71
 2-Feb-22 ,70.2
 3-Feb-22 ,70
 7-Feb-22 ,70
 8-Feb-22 ,69.1
 9-Feb-22 ,68.7
 10-Feb-22 ,68.1
 11-Feb-22 ,69.3
 14-Feb-22 ,70
 15-Feb-22 ,69.8
 17-Feb-22 ,71.8
 18-Feb-22 ,70
 21-Feb-22 ,69.5
 22-Feb-22 ,69
 23-Feb-22 ,66
 24-Feb-22 ,64
 25-Feb-22 ,64.8
 28-Feb-22 ,64.8
 2-Mar-22 ,64.3
 3-Mar-22 ,64
 4-Mar-22 ,66
 7-Mar-22 ,63.7
 8-Mar-22 ,63.8
